Category,Subcategory,Item/Model,Unit_Cost_EUR
Automation_Cost_Estimate,Light_Products_(<=20_kg),Import_MiR1200,143055.0
Automation_Cost_Estimate,Light_Products_(<=20_kg),Import_MiR600,85603.0
Automation_Cost_Estimate,Light_Products_(<=20_kg),Production_Line_Average_Unit_Cost,45400.0
Automation_Cost_Estimate,Light_Products_(<=20_kg),Export_MiR1200,143055.0
Automation_Cost_Estimate,Light_Products_(<=20_kg),Export_MiR600,85603.0
Automation_Cost_Estimate,Medium_Products_(20–120_kg),Import_MiR1200,143055.0
Automation_Cost_Estimate,Medium_Products_(20–120_kg),Import_MiR600,85603.0
Automation_Cost_Estimate,Medium_Products_(20–120_kg),Production_Line_Average_Unit_Cost,90816.0
Automation_Cost_Estimate,Medium_Products_(20–120_kg),Export_MiR1200,143055.0
Automation_Cost_Estimate,Medium_Products_(20–120_kg),Export_MiR600,85603.0
Automation_Cost_Estimate,Heavy_Products_(>=200_kg),Import_MiR1200,143055.0
Automation_Cost_Estimate,Heavy_Products_(>=200_kg),Import_MiR600,102093.0
Automation_Cost_Estimate,Heavy_Products_(>=200_kg),Production_Line_Average_Unit_Cost,170300.0
Automation_Cost_Estimate,Heavy_Products_(>=200_kg),Export_MiR1200,143055.0
Automation_Cost_Estimate,Heavy_Products_(>=200_kg),Export_MiR1350,102093.0
Automation_Cost_Estimate,Total_Project_Cost,Total_Light_Products_(Base),584716.0
Automation_Cost_Estimate,Total_Project_Cost,Total_Light_Products_(+10%_Unforeseen),643187.6
Automation_Cost_Estimate,Total_Project_Cost,Total_Medium_Products_(Base),630132.0
Automation_Cost_Estimate,Total_Project_Cost,Total_Medium_Products_(+10%_Unforeseen),693145.0
Automation_Cost_Estimate,Total_Project_Cost,Total_Heavy_Products_(Base),709616.0
Automation_Cost_Estimate,Total_Project_Cost,Total_Heavy_Products_(+10%_Unforeseen),780577.6
